classification	mw_mean	mw_std	mw_cf	mw_kts	hr_mean	hr_std	hr_max	hr_min	hr_cf	hr_kts
1	51.365567886463964	176.04917426115026	11.162030819599916	72.42693351015141	77.66366948387096	1.870211283611041	80.0	75.125	1.0297841322644203	1.325894429639176
1	50.13057275541796	171.7252038701774	11.442609458153393	75.27911569116677	77.76738648484849	1.858330659644509	80.0	75.125	1.0284152857687026	1.292984279750046
0	99.89732142857143	316.9280658980271	6.160107908156555	21.043348137884177	85.770925	0.1142550000000071	85.88518	85.65666999999999	1.00133120634395	1.0
0	123.53096565893748	363.80576751716893	5.327865833230381	17.64141883253503	85.3854625	0.39383809036042994	85.88518	85.0	1.0058417896980203	1.163011186317443
0	97.05970451325642	308.0629965339373	6.337631512316999	25.174118040821618	85.30837	0.3845253793444589	85.88518	85.0	1.0067512429827152	1.395449146882979
0	81.72869054972205	338.9678503463892	5.870687290938195	23.277966191564406	84.52085625000001	1.4150421484883184	85.88518	81.125	1.0159994806926107	4.321934724851248
0	74.39977533699451	311.8191351655097	6.385458116525199	26.4566983583357	84.52085625000001	1.4150421484883184	85.88518	81.125	1.0159994806926107	4.321934724851248
0	67.37518324607329	290.6028276290744	6.861967513059142	29.595583107771294	84.52085625000001	1.4150421484883184	85.88518	81.125	1.0159994806926107	4.321934724851248
0	62.81329484982412	270.3542504193202	7.375107532523892	34.135623102944386	84.52085625000001	1.4150421484883184	85.88518	81.125	1.0159994806926107	4.321934724851248
0	59.090109367570136	255.2096180858943	7.814138868342681	37.877634600058876	84.52085625000001	1.4150421484883184	85.88518	81.125	1.0159994806926107	4.321934724851248
0	55.64985519530974	242.03411372831425	8.242420145657537	41.839764494179676	83.27668500000001	2.7949461216461766	85.88518	78.0	1.0307428720416596	2.269062789420142
0	53.887352660082826	232.19884493607324	8.58749808695312	44.648019152769685	82.69188000000001	2.8737602995697706	85.88518	78.0	1.0379902261364762	1.498867625459332
0	51.987925930225806	225.52962163155632	8.844469658227244	45.875204312803696	82.70018285714286	2.6873748456876454	85.88518	78.0	1.037964701716858	1.6884758353017986
0	50.44827586206897	217.09864017966174	9.184189291117097	49.11799295166218	83.2767225	2.964310141640253	88.375	78.0	1.0605492377384604	2.0086744371228753
0	49.0284222452096	210.3230481240858	9.478520861250221	51.61973686939752	84.08625333333333	3.6159058404822075	91.0	78.0	1.0812228425349433	2.3158788889652584
0	27.011965811965812	0.2750278079167171	1.0365239230912622	13.15675923894286	89.37317	0.0	89.37317	89.37317	1.0	0
0	27.158945117605132	0.7051158333204441	1.2146599793948678	32.965347761226894	88.87408500000001	0.4990850000000009	89.37317	88.375	1.0055997856144483	1.0
0	27.304097605893187	29.0132823739752	5.948685181965544	227.38565025348242	88.3745425	0.6179790675409248	89.37317	87.75	1.011275220859593	1.9992672384657908
0	23.314222524668253	148.62704008720232	5.676511630724461	25.222061732797137	88.33302833333335	0.5521961644324321	89.37317	87.75	1.0117554604668852	2.419293463163933
0	26.320081135902637	13.377199820744506	2.540263104538081	148.51776609925943	100.297793	0.007356999999998948	100.30515	100.290436	1.0000733488737532	1.0
0	27.14503816793893	12.551998144197254	2.7418681073362072	142.9411222571346	99.80245	0.42566476692157595	100.30515	99.25	1.0050278093819918	1.354995612812251
0	36.20661157024794	344.0774362044792	5.916575395460129	20.489919319236023	99.57317857142857	0.5107203257973291	100.30515	99.0	1.0073378400715218	1.6348978138077876
0	16.978519548755987	434.25671420972395	4.710202874684562	12.600952132884471	99.476225	0.46585190514175157	100.30515	99.0	1.0083218389640107	2.277168736406425
